"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",12,"15.4%","1.3%","16.7%","42%","-",43,31,55,3.2,"69.0%","16.7%","8%",-180,-46,-3.5,7.7,"29.6%",424,"27.8%","25.1%",0.33,0.18
"Akali","Top",1,"1.3%","0.0%","1.3%","100%","-",9,0,8,17,"70.8%","0.0%","100%",-148,-757,-25,6.5,"32.9%",430,"21.3%","22.3%",0.45,0.1
"Alistar","Support",1,"1.3%","93.6%","100.0%","100%","-",0,4,17,4.3,"89.5%","33.3%","0%",-251,91,8,0.9,"3.4%",96,"5.1%","12.0%",1.23,0.11
"Alistar","Top",4,"5.1%","93.6%","100.0%","75%","-",10,9,24,3.8,"66.7%","24.3%","25%",-151,172,-9.8,6.7,"25.6%",391,"22.7%","20.8%",0.34,0.06
"Blitzcrank","Support",3,"3.8%","0.0%","3.8%","0%","-",4,19,21,1.3,"71.4%","18.8%","33%",-389,-505,-0.3,0.8,"2.6%",216,"12.1%","12.5%",1.27,0.06
"Braum","Support",12,"15.4%","0.0%","15.4%","50%","-",1,45,113,2.5,"69.1%","22.1%","25%",-48,11,3.1,1.1,"4.7%",156,"9.2%","11.2%",1.33,0.24
"Caitlyn","ADC",2,"2.6%","0.0%","2.6%","50%","-",11,4,8,4.8,"63.3%","12.9%","0%",125,-669,2,9.4,"36.3%",651,"36.7%","28.2%",0.21,0.17
"Corki","ADC",22,"28.2%","0.0%","28.2%","55%","-",91,52,117,4,"63.0%","15.3%","27%",-70,32,0.5,7.8,"29.7%",614,"30.5%","24.5%",0.24,0.14
"Dr. Mundo","Top",10,"12.8%","0.0%","12.8%","10%","-",17,31,32,1.6,"53.3%","16.3%","20%",11,183,6.6,6.3,"25.1%",289,"20.0%","21.6%",0.36,0.06
"Elise","Jungle",15,"19.2%","1.3%","20.5%","33%","-",22,50,61,1.7,"52.2%","19.8%","40%",-70,-47,-0.9,3,"10.6%",146,"8.7%","14.7%",0.83,0.28
"Evelynn","Jungle",2,"2.6%","0.0%","2.6%","100%","-",6,2,24,15,"63.8%","8.7%","50%",913,729,9.5,3,"10.0%",337,"16.5%","18.2%",0.76,0.12
"Ezreal","ADC",2,"2.6%","0.0%","2.6%","0%","-",6,2,4,5,"47.6%","5.6%","50%",-72,127,-14.5,6.4,"22.0%",670,"37.6%","25.0%",0.2,0.15
"Fiddlesticks","Jungle",1,"1.3%","0.0%","1.3%","100%","-",5,4,10,3.8,"75.0%","21.1%","100%",427,90,-15,2.6,"11.5%",295,"18.1%","16.7%",0.21,0.16
"Fizz","Middle",13,"16.7%","14.1%","30.8%","38%","-",65,40,56,3,"62.7%","20.6%","31%",-57,-61,-9.4,7.5,"28.0%",435,"26.0%","25.2%",0.26,0.13
"Galio","Top",1,"1.3%","0.0%","1.3%","0%","-",0,7,3,0.4,"27.3%","25.9%","0%",-688,-514,-11,5.1,"18.0%",206,"15.0%","14.8%",0.37,0.09
"Gragas","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",2,"2.6%","0.0%","2.6%","50%","-",7,5,12,3.8,"51.4%","21.7%","0%",-27,-85,1.5,7.6,"29.6%",433,"23.2%","23.9%",0.23,0.12
"Irelia","Top",15,"19.2%","7.7%","26.9%","67%","-",45,21,93,6.6,"63.6%","17.5%","40%",106,57,-1.5,6.8,"25.0%",353,"21.3%","21.0%",0.35,0.13
"Janna","Support",45,"57.7%","10.3%","67.9%","62%","-",15,95,501,5.4,"73.5%","18.4%","33%",0,-29,-4.2,0.5,"2.5%",111,"6.3%","12.2%",1.33,0.31
"Jarvan IV","Jungle",17,"21.8%","1.3%","23.1%","35%","-",29,61,152,3,"79.7%","22.7%","47%",-88,-174,-2.3,3.2,"12.3%",196,"11.9%","16.7%",0.62,0.25
"Jayce","Middle",12,"15.4%","10.3%","25.6%","58%","-",46,30,80,4.2,"66.0%","19.6%","25%",92,176,6.7,7.3,"27.2%",610,"30.6%","23.1%",0.37,0.23
"Jinx","ADC",7,"9.0%","3.8%","12.8%","29%","-",12,30,35,1.6,"61.0%","20.8%","14%",-598,-511,-20.7,6.7,"28.2%",408,"26.7%","23.7%",0.18,0.09
"Kassadin","Middle",4,"5.1%","2.6%","12.8%","50%","-",18,13,25,3.3,"68.3%","22.0%","0%",-352,-606,-9.5,7,"27.4%",485,"27.0%","22.8%",0.33,0.19
"Kassadin","Top",4,"5.1%","2.6%","12.8%","75%","-",17,7,29,6.6,"59.7%","24.1%","25%",-196,295,-6.5,6.9,"28.7%",477,"24.0%","21.5%",0.38,0.17
"Katarina","Middle",1,"1.3%","0.0%","1.3%","100%","-",12,2,16,14,"71.8%","14.3%","0%",-164,719,7,6.7,"21.5%",946,"29.1%","22.6%",0.41,0.03
"Kayle","Support",1,"1.3%","2.6%","19.2%","0%","-",0,3,2,0.7,"33.3%","15.8%","0%",-375,37,0,0.3,"2.1%",127,"7.8%","6.7%",1.07,0.21
"Kayle","Top",12,"15.4%","2.6%","19.2%","42%","-",21,37,84,2.8,"69.5%","23.3%","17%",-80,-43,1.7,6.6,"27.5%",206,"13.6%","21.5%",0.39,0.19
"Kha'Zix","Jungle",57,"73.1%","10.3%","84.6%","44%","-",172,148,278,3,"61.1%","17.1%","40%",-56,55,1.2,3.7,"14.5%",337,"19.1%","17.7%",0.43,0.19
"Kha'Zix","Top",1,"1.3%","10.3%","84.6%","0%","-",1,1,0,1,"50.0%","5.9%","0%",-39,-482,-1,7.9,"29.6%",408,"27.9%","26.0%",0.27,0.03
"Kog'Maw","ADC",16,"20.5%","1.3%","21.8%","44%","-",58,40,84,3.6,"71.4%","17.8%","13%",-15,30,-0.8,7.2,"26.8%",586,"33.9%","24.7%",0.21,0.16
"Lee Sin","Jungle",43,"55.1%","37.2%","92.3%","56%","-",125,118,310,3.7,"65.9%","22.0%","35%",18,-35,-1,2.8,"9.9%",223,"12.6%","15.9%",0.87,0.2
"Leona","Support",3,"3.8%","0.0%","3.8%","33%","-",5,10,16,2.1,"45.7%","25.6%","0%",-179,-74,7.7,1.1,"3.7%",105,"7.0%","8.8%",1.16,0.23
"Lissandra","Middle",1,"1.3%","0.0%","1.3%","100%","-",4,2,11,7.5,"57.7%","25.0%","0%",67,492,29,9.7,"33.0%",595,"25.3%","23.4%",0.27,0.11
