"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"1.2%","1.2%","4.8%","100%","100%",2,2,4,3,"37.5%","18.2%","0%",46,467,-2,8.8,"25.1%",377,"22.1%","20.9%",0.21,0.38
"Aatrox","Top",2,"2.4%","1.2%","4.8%","50%","100%",6,2,7,6.5,"61.9%","8.3%","0%",14,184,-10,7.9,"25.0%",260,"17.5%","24.0%",0.36,0.22
"Alistar","Support",5,"6.0%","0.0%","6.0%","40%","80%",6,19,40,2.4,"82.1%","21.6%","20%",-44,-77,2.4,0.9,"1.9%",121,"7.1%","8.4%",1.96,0.34
"Amumu","Support",1,"1.2%","7.2%","8.4%","100%","0%",2,4,10,3,"52.2%","26.7%","0%",-39,446,2,0.8,"1.8%",155,"6.6%","8.8%",1.69,0.34
"Annie","Middle",2,"2.4%","1.2%","3.6%","50%","100%",6,6,18,4,"77.4%","21.4%","0%",-345,-457,-14,5.6,"16.4%",396,"20.1%","16.6%",0.6,0.11
"Aphelios","ADC",31,"37.3%","41.0%","78.3%","61%","48%",115,63,124,3.8,"58.9%","19.3%","29%",128,-47,4.2,9.3,"31.2%",444,"25.7%","26.4%",0.48,0.32
"Ashe","ADC",1,"1.2%","0.0%","1.2%","0%","0%",2,6,5,1.2,"53.8%","17.6%","0%",1138,555,15,7.3,"27.3%",409,"23.5%","20.9%",0.36,0.32
"Azir","Middle",10,"12.0%","14.5%","26.5%","40%","60%",34,34,48,2.4,"60.7%","20.4%","0%",37,188,9,8.4,"25.1%",523,"30.0%","22.9%",0.48,0.21
"Braum","Support",11,"13.3%","9.6%","22.9%","36%","100%",4,38,72,2,"76.8%","25.9%","9%",-47,-75,2.5,1.1,"2.3%",156,"9.9%","8.5%",1.67,0.3
"Camille","Top",7,"8.4%","10.8%","19.3%","57%","43%",16,30,50,2.2,"61.7%","33.0%","43%",-346,-397,-19.3,7.6,"24.7%",340,"19.7%","21.2%",0.4,0.23
"Draven","ADC",4,"4.8%","21.7%","26.5%","25%","50%",11,8,11,2.8,"55.0%","12.9%","25%",166,50,4,9.2,"30.9%",317,"20.5%","27.9%",0.64,0.33
"Ezreal","ADC",11,"13.3%","9.6%","22.9%","55%","82%",42,23,53,4.1,"66.0%","15.9%","9%",-62,-158,-6.5,8.9,"29.0%",569,"30.8%","25.2%",0.42,0.21
"Fiddlesticks","Jungle",2,"2.4%","2.4%","4.8%","50%","100%",8,9,12,2.2,"66.7%","31.0%","0%",-94,-476,-5.5,5,"13.0%",341,"16.9%","16.7%",0.1,0.16
"Fiora","Top",2,"2.4%","0.0%","2.4%","100%","100%",10,2,9,9.5,"51.4%","25.0%","50%",564,847,16.5,10.1,"32.5%",389,"21.3%","25.6%",0.31,0.22
"Galio","Middle",3,"3.6%","9.6%","13.3%","33%","67%",8,10,23,3.1,"86.1%","22.2%","33%",-767,-783,-28.7,6.1,"18.3%",316,"20.0%","19.6%",0.54,0.14
"Gangplank","Top",2,"2.4%","3.6%","6.0%","100%","50%",10,7,20,4.3,"75.0%","20.6%","50%",660,701,19.5,8.2,"29.3%",714,"31.6%","27.9%",0.39,0.21
"Gnar","Top",8,"9.6%","2.4%","12.0%","38%","75%",17,20,25,2.1,"51.2%","17.2%","13%",-139,-24,3,7.9,"24.1%",398,"24.9%","23.0%",0.48,0.25
"Gragas","Jungle",1,"1.2%","1.2%","8.4%","0%","100%",2,7,7,1.3,"47.4%","21.9%","0%",-653,-73,-7,4.2,"13.6%",144,"7.1%","13.9%",0.71,0.33
"Gragas","Support",1,"1.2%","1.2%","8.4%","0%","100%",1,5,7,1.6,"72.7%","26.3%","0%",28,433,1,0.8,"1.6%",168,"9.5%","6.9%",1.64,0.21
"Gragas","Top",4,"4.8%","1.2%","8.4%","50%","75%",13,13,32,3.5,"67.2%","27.1%","25%",-267,-213,-8.8,7.6,"26.2%",486,"27.4%","21.7%",0.35,0.2
"Graves","Jungle",3,"3.6%","34.9%","78.3%","0%","100%",4,12,14,1.5,"78.3%","19.4%","0%",-36,111,10,7.2,"22.1%",314,"19.5%","20.8%",0.33,0.57
"Graves","Top",33,"39.8%","34.9%","78.3%","64%","9%",102,76,137,3.1,"54.6%","21.1%","12%",33,39,2.6,9.5,"30.6%",487,"26.9%","26.0%",0.35,0.28
"Gwen","Top",14,"16.9%","10.8%","27.7%","29%","50%",36,34,34,2.1,"52.2%","22.2%","7%",-28,-3,1.7,8.7,"27.6%",415,"26.1%","24.9%",0.33,0.32
"Irelia","Middle",4,"4.8%","54.2%","65.1%","25%","50%",12,17,18,1.8,"69.8%","27.4%","25%",-418,-55,4,9.2,"26.8%",294,"18.3%","26.7%",0.41,0.17
"Irelia","Top",5,"6.0%","54.2%","65.1%","20%","80%",7,25,17,1,"55.8%","28.7%","0%",-472,-364,-4.2,8.4,"29.2%",264,"18.3%","24.6%",0.38,0.17
"Jarvan IV","Jungle",28,"33.7%","39.8%","77.1%","50%","54%",58,87,230,3.3,"83.0%","24.9%","61%",16,-74,-0.8,4.9,"12.4%",235,"13.6%","16.3%",0.42,0.51
"Jarvan IV","Top",3,"3.6%","39.8%","77.1%","0%","100%",10,9,16,2.9,"81.3%","18.0%","33%",262,272,0,7.5,"22.4%",299,"18.7%","22.2%",0.44,0.26
"Jax","Top",7,"8.4%","0.0%","8.4%","43%","86%",18,23,26,1.9,"51.2%","21.7%","14%",-1,130,0.7,8.2,"25.9%",345,"20.5%","24.3%",0.39,0.16
"Jayce","Top",23,"27.7%","27.7%","55.4%","43%","22%",73,83,121,2.3,"65.1%","25.2%","30%",378,157,9.3,8.6,"27.9%",626,"34.2%","25.6%",0.41,0.29
"Jhin","ADC",28,"33.7%","2.4%","36.1%","64%","68%",93,31,166,8.4,"65.1%","12.2%","18%",-126,-72,-4.8,8.9,"28.7%",384,"21.3%","24.4%",0.45,0.25
"Jinx","ADC",1,"1.2%","3.6%","4.8%","0%","100%",0,3,2,0.7,"66.7%","20.0%","0%",2,-480,-7,10.1,"35.0%",376,"24.0%","26.1%",0.49,0.46
"Kai'Sa","ADC",8,"9.6%","2.4%","12.0%","38%","63%",32,18,47,4.4,"69.9%","12.9%","0%",-4,52,4,9.2,"31.8%",432,"24.1%","27.0%",0.57,0.32
"Kalista","ADC",1,"1.2%","1.2%","2.4%","0%","100%",6,4,11,4.3,"89.5%","13.3%","0%",109,-285,3,8.4,"28.6%",509,"23.4%","28.6%",0.96,0.38
"Kassadin","Middle",1,"1.2%","1.2%","2.4%","100%","100%",8,2,8,8,"76.2%","13.3%","100%",-209,-226,0,8.2,"24.2%",842,"43.6%","25.2%",0.41,0.49
"Kennen","Top",22,"26.5%","34.9%","61.4%","73%","50%",94,74,148,3.3,"60.5%","28.6%","27%",-201,-122,-4.5,7.5,"24.2%",510,"27.7%","21.9%",0.33,0.23
"LeBlanc","Middle",23,"27.7%","61.4%","89.2%","57%","30%",95,44,121,4.9,"69.2%","14.9%","17%",57,231,6.4,8.3,"24.2%",573,"30.2%","24.1%",0.57,0.37
"Lee Sin","Jungle",37,"44.6%","54.2%","98.8%","59%","0%",117,90,281,4.4,"73.0%","18.4%","30%",-42,14,-1.3,5.4,"15.4%",256,"14.1%","17.9%",0.61,0.36
